Step,Reward,Action,Link_Cost,Decision_Type
641,-100.00,49,1.00,RL
642,-100.00,49,1.00,RL
643,-100.00,49,1.00,RL
644,-100.00,49,1.00,RL
645,-100.00,49,1.00,RL
646,-100.00,49,1.00,RL
647,-100.00,49,1.00,RL
648,-100.00,49,1.00,RL
649,-100.00,49,1.00,RL
650,-100.00,49,1.00,RL
651,-100.00,49,1.00,RL
652,-100.00,49,1.00,RL
653,-100.00,49,1.00,RL
654,-100.00,49,1.00,RL
655,-100.00,49,1.00,RL
656,-100.00,49,1.00,RL
657,-100.00,49,1.00,RL
658,-100.00,49,1.00,RL
659,-100.00,49,1.00,RL
660,-100.00,49,1.00,RL
661,-100.00,49,1.00,RL
662,-100.00,49,1.00,RL
663,-100.00,49,1.00,RL
664,-100.00,49,1.00,RL
665,-100.00,49,1.00,RL
666,-100.00,49,1.00,RL
667,-100.00,49,1.00,RL
668,-100.00,49,1.00,RL
669,-100.00,49,1.00,RL
670,-100.00,49,1.00,RL
671,-100.00,49,1.00,RL
672,-100.00,49,1.00,RL
673,-100.00,49,1.00,RL
674,-100.00,49,1.00,RL
675,-100.00,49,1.00,RL
676,-100.00,49,1.00,RL
677,-100.00,49,1.00,RL
678,-100.00,49,1.00,RL
679,-100.00,49,1.00,RL
680,-100.00,49,1.00,RL
681,-100.00,49,1.00,RL
682,-100.00,49,1.00,RL
683,-100.00,49,1.00,RL
684,-100.00,49,1.00,RL
685,-100.00,49,1.00,RL
686,-100.00,49,1.00,RL
687,-100.00,49,1.00,RL
688,-100.00,49,1.00,RL
689,-100.00,49,1.00,RL
690,-100.00,49,1.00,RL
691,-100.00,49,1.00,RL
692,-100.00,49,1.00,RL
693,-100.00,49,1.00,RL
694,-100.00,49,1.00,RL
695,-100.00,49,1.00,RL
696,-100.00,49,1.00,RL
697,-100.00,49,1.00,RL
698,-100.00,49,1.00,RL
699,-100.00,49,1.00,RL
700,-100.00,49,1.00,RL
701,-100.00,49,1.00,RL
702,-100.00,49,1.00,RL
703,-100.00,49,1.00,RL
704,-100.00,49,1.00,RL
705,-100.00,49,1.00,RL
706,-100.00,49,1.00,RL
707,-100.00,49,1.00,RL
708,-100.00,49,1.00,RL
709,-100.00,49,1.00,RL
710,-100.00,49,1.00,RL
711,-100.00,49,1.00,RL
712,-100.00,49,1.00,RL
713,-100.00,49,1.00,RL
714,-100.00,49,1.00,RL
715,-100.00,49,1.00,RL
